machine_id,observed_minutes,mean_cpu,std_cpu,mean_memory,avg_observations_per_minute,coverage_ratio,imputed_ratio,global_minute_start,global_minute_end,global_span_minutes
m_3330,10912,43.081183559384165,11.520855723954284,91.59837640518083,5.960777126099707,0.9472222222222222,0.05277777777777778,0,11519,11520
m_694,10903,46.06555891854433,12.5787080196193,91.87400562536305,5.965514078693937,0.9464409722222222,0.053559027777777775,0,11519,11520
m_2967,10871,39.94302348756631,11.45337361367948,91.81564943427468,5.959709318369975,0.9436631944444445,0.05633680555555556,0,11519,11520
m_2773,10863,31.547224267902255,12.33241174060428,90.7885817811736,5.955905366841573,0.94296875,0.05703125,0,11519,11520
m_2014,10858,37.066897167475084,14.43748107540719,89.98620576738094,5.952016946030577,0.9425347222222222,0.057465277777777775,0,11519,11520
m_103,10857,31.878494161472887,12.119668035508413,89.0962000962001,5.957078382610297,0.9424479166666667,0.05755208333333333,0,11519,11520
m_639,10851,40.53346465763524,11.646331218539508,89.6513736573178,5.958805640033177,0.9419270833333333,0.05807291666666667,0,11519,11520
m_3244,10833,44.07308763346565,11.87678879672484,91.28824143306974,5.962244992153605,0.9403645833333333,0.05963541666666667,0,11519,11520
m_1508,10831,37.77541111418869,11.220699731813783,91.8118756347521,5.9613147447142465,0.9401909722222223,0.05980902777777778,0,11519,11520
m_2366,10831,40.79252274848942,12.431221065287486,90.41221929851558,5.957898624319084,0.9401909722222223,0.05980902777777778,0,11519,11520
m_1223,10800,31.856556327160494,12.13313034644692,91.03671527777777,5.966018518518519,0.9375,0.0625,0,11519,11520
m_2165,10796,42.0999675805854,11.32707298707537,90.74438295047548,5.963319748054835,0.9371527777777777,0.06284722222222222,0,11519,11520
