app_du,unique_containers,mean_cpu_request_cores,median_cpu_request_cores,mean_mem_size,min_ts,max_ts,container_events,machines,span_seconds
app_1063,129,8.0,8.0,3.13,0,689378,787,129,689378
app_141,490,8.0,8.0,3.13,0,678050,2774,490,678050
app_1826,103,8.0,8.0,3.13,0,693993,591,103,693993
app_2241,125,4.0,4.0,1.56,0,678039,793,125,678039
app_3073,159,4.0,4.0,1.56,0,668732,953,159,668732
app_3641,155,4.0,4.0,1.56,0,678053,1016,155,678053
app_512,106,4.0,4.0,1.56,0,678042,657,106,678042
app_565,147,4.0,4.0,1.56,0,686011,838,147,686011
app_6658,109,8.0,8.0,3.1300000000000003,0,678012,601,109,678012
app_7876,513,8.0,8.0,3.13,0,686011,1885,513,686011
