fold_id,machine_id,horizon,p50_coverage,p90_coverage,interval_width
0,m_3330,1,0.5209832134292566,0.9370503597122302,7.6303286873329
0,m_3330,5,0.5222355769230769,0.8924278846153846,9.646606684044675
0,m_3330,10,0.5159734779987944,0.8854731766124171,10.150814682905695
0,m_2773,1,0.5719424460431655,0.9136690647482014,8.00780459488729
0,m_2773,5,0.5829326923076923,0.9260817307692307,10.051627834773806
0,m_2773,10,0.5907172995780591,0.9252561784207354,10.44093299981497
0,m_639,1,0.5221822541966427,0.9448441247002398,7.625481589455736
0,m_639,5,0.5516826923076923,0.9038461538461539,9.46914058035092
0,m_639,10,0.5364677516576251,0.8908981314044605,9.946102603010518
0,m_1508,1,0.5305755395683454,0.9382494004796164,7.720549235564943
0,m_1508,5,0.5486778846153846,0.8990384615384616,9.698288817434879
0,m_1508,10,0.540084388185654,0.8890898131404461,10.275977640338583
1,m_694,1,0.39568345323741005,0.8980815347721822,7.51746287711145
1,m_694,5,0.3954326923076923,0.7109375,9.578752350835666
1,m_694,10,0.3833634719710669,0.6992163954189271,9.788562248143595
1,m_2014,1,0.43285371702637887,0.762589928057554,7.686625641185108
1,m_2014,5,0.43810096153846156,0.7415865384615384,9.989505930257504
1,m_2014,10,0.4448462929475588,0.7323688969258589,10.331355168750507
1,m_3244,1,0.447242206235012,0.8453237410071942,7.604354381581402
1,m_3244,5,0.44771634615384615,0.796875,9.709212998500796
1,m_3244,10,0.44002411091018684,0.7962628089210367,10.06628723910866
1,m_1223,1,0.539568345323741,0.934052757793765,7.620529222539567
1,m_1223,5,0.5637019230769231,0.8912259615384616,9.45759400235723
1,m_1223,10,0.5491259795057264,0.9029535864978903,9.905394697070978
2,m_2967,1,0.5377697841726619,0.9250599520383693,7.383018524451598
2,m_2967,5,0.5679086538461539,0.8834134615384616,9.518443654157947
2,m_2967,10,0.5455093429776974,0.8746232670283303,9.800265856160083
2,m_103,1,0.5461630695443646,0.934652278177458,7.462627504074586
2,m_103,5,0.5649038461538461,0.9056490384615384,9.340490927054203
2,m_103,10,0.5828812537673297,0.8987341772151899,9.706686427583886
2,m_2366,1,0.526378896882494,0.8926858513189448,7.638142528968127
2,m_2366,5,0.5372596153846154,0.8659855769230769,10.08255218967659
2,m_2366,10,0.5195901145268234,0.8637733574442436,10.464293594818944
2,m_2165,1,0.5137889688249401,0.9268585131894485,7.384690893000057
2,m_2165,5,0.5144230769230769,0.8858173076923077,9.52438041647984
2,m_2165,10,0.5063291139240507,0.8758288125376733,9.935124948211708
