app_du,policy_name,horizon,sla_violation,over_provisioning,under_provisioning,scaling_actions,average_capacity
app_141,reactive_service,5,0.0,31.18942706663996,0.0,111,86.54848557692307
app_141,predictive_service,5,0.0036057692307692,19.000712117252274,0.008451994587441,375,82.65517740949043
app_7876,reactive_service,5,0.040264423076923,11.681425180288468,2.025653545673077,169,27.087708333333342
app_7876,predictive_service,5,0.0432692307692307,14.642072070420856,2.481871829910595,398,32.206927444035905
app_3073,reactive_service,5,0.0,0.5659334935897437,0.0,14,1.0042067307692308
app_3073,predictive_service,5,0.0024038461538461,0.4961252003205129,0.000139423076923,0,1.0
app_1063,reactive_service,5,0.009014423076923,1.0643739983974358,0.0019080528846153,731,2.7432091346153844
app_1063,predictive_service,5,0.0048076923076923,2.404587914459429,0.0024289840340974,584,4.33501359789328
app_512,reactive_service,5,0.0108173076923076,1.29541015625,0.0052373798076923,786,3.3701923076923075
app_512,predictive_service,5,0.0426682692307692,1.6119383229808528,0.0227535014903607,583,3.981207282427993
app_565,reactive_service,5,0.0114182692307692,1.522077323717949,0.0139102564102564,688,4.015769230769229
app_565,predictive_service,5,0.0673076923076923,1.5859604925180426,0.0961687463638249,591,4.373534234134987
app_3641,reactive_service,5,0.0018028846153846,0.8197295673076924,0.0003335336538461,655,2.012950721153846
app_3641,predictive_service,5,0.157451923076923,0.5358876201976172,0.0649612522760179,535,1.8435142585465991
app_2241,reactive_service,5,0.0120192307692307,1.8670432692307697,0.0050961538461538,673,4.933329326923077
app_2241,predictive_service,5,0.0336538461538461,2.2397169373676906,0.0201532809727707,550,5.751653199664151
app_6658,reactive_service,5,0.0138221153846153,1.0676582532051282,0.0071454326923076,899,2.772572115384615
app_6658,predictive_service,5,0.0492788461538461,1.424925687726385,0.0245869922551677,584,3.3692068845737806
app_1826,reactive_service,5,0.0042067307692307,0.6937459935897436,0.0032842548076923,86,1.0528846153846154
app_1826,predictive_service,5,0.0300480769230769,0.6254162324820904,0.0298715241070236,88,1.0123310164680157
app_141,lagged_tracking_service,5,0.4951923076923077,1.6255695037059295,1.6077057583800745,1662,63.680781032151444
app_7876,lagged_tracking_service,5,0.4933894230769231,0.8308796716412927,3.5743740301148508,1662,17.303232845052083
app_3073,lagged_tracking_service,5,0.002403846153846154,0.496264623397436,0.00013942307692307678,8,1.0001394230769232
app_1063,lagged_tracking_service,5,0.4855769230769231,0.3076326121794872,0.2922166967147436,1607,1.9482705829326923
app_512,lagged_tracking_service,5,0.49399038461538464,0.3880664813701923,0.39632957732371793,1640,2.383759364983974
app_565,lagged_tracking_service,5,0.5018028846153846,0.42005523838141023,0.4238764523237179,1655,2.8799212740384617
app_3641,lagged_tracking_service,5,0.39122596153846156,0.26575941506410256,0.16741972155448717,1302,1.4709275841346152
app_2241,lagged_tracking_service,5,0.4723557692307692,0.5017872596153846,0.5059638421474358,1571,3.527912960737179
app_6658,lagged_tracking_service,5,0.4807692307692308,0.37985191306089744,0.36483548677884614,1617,1.9838846153846152
app_1826,lagged_tracking_service,5,0.026442307692307692,0.6289923878205129,0.01969005408653846,88,1.0260886418269233
